Vehicle_Name,Name,Price($),InventoryType,Distance from 30341,Dealership
2022-Audi-e-tron,2022 Audi e-tron Premium,Not Priced,New,137 mi. from 30341,Harper Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$47,015",New,137 mi. from 30341,Harper Audi
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$60,255",New,137 mi. from 30341,Harper Audi
2022-Audi-Q3,2022 Audi Q3 40 Premium,"$40,195",New,137 mi. from 30341,Harper Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$44,195",New,137 mi. from 30341,Harper Audi
2022-Audi-Q7,2022 Audi Q7 55 Premium Plus,"$72,705",New,137 mi. from 30341,Harper Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$42,150",New,137 mi. from 30341,Harper Audi
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$61,595",New,137 mi. from 30341,Harper Audi
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$57,605",New,137 mi. from 30341,Harper Audi
2022-Audi-RS,2022 Audi RS 5 2.9T,"$91,660",New,150 mi. from 30341,Jack Ingram Motors
